"ID","MonthlyIncome"
871,5474.02374982986
872,2715.61134483294
873,15246.5494992819
874,2729.25574686986
875,2747.41352584749
876,5810.37712431088
877,5458.087902251
878,2572.39725905273
879,2849.69440551696
880,15376.0844259536
881,10280.1502412758
882,2806.53926800745
883,5380.80438111341
884,5342.16262054461
885,5498.98635129016
886,5289.8764579389
887,5528.53184383434
888,5433.09054371912
889,5508.08261931476
890,2754.25310540174
891,5519.47033288132
892,9646.01573873943
893,9718.7858829363
894,5371.7081130888
895,10323.3401358569
896,9807.42236056887
897,9718.75112586472
898,15098.7872794894
899,5521.72702135168
900,2758.80123941405
901,2717.8680333033
902,5596.75385401891
903,5821.76483787744
904,2836.08476055164
905,15260.1591442472
906,5339.90593207426
907,10073.3317934665
908,5476.28043830022
909,2604.23419713886
910,2592.88124064389
911,19163.5786195712
912,2797.44299998284
913,2806.53926800745
914,9811.93573750958
915,5494.47297434944
916,5323.97008449539
917,2633.77968968305
918,5337.61448653231
919,2574.68870459468
920,3040.68127696217
921,2672.42145025184
922,2606.52564268081
923,5501.2777968321
924,5558.11209345012
925,15596.5472757999
926,2895.17574564001
927,5512.63075332707
928,10007.4012288239
929,2547.39990052085
930,2799.6996884532
931,5669.45448407261
932,9684.65749930822
933,9725.59070541897
934,2770.22371005219
935,2538.30363249624
936,2645.13264617802
937,9955.1498232898
938,10007.4359858955
939,5780.83163176669
940,2574.68870459468
941,3042.90320836094
942,9746.03992993855
943,10339.2759834358
944,5312.61712800043
945,2499.66187192744
946,5380.80438111341
947,2542.85176650854
948,2624.68342165844
949,2772.41088437937
950,5521.76177842327
951,2904.27201366462
952,5489.92484033713
953,5476.28043830022
954,2717.8680333033
955,5514.92219886902
956,9714.237748924
957,10591.5410142966
958,2858.79067354157
959,10050.591123405
960,19674.9830179186
961,2726.96430132791
962,5519.47033288132
963,5628.55603503346
964,5603.55867650158
965,2590.58979510195
966,19313.5975278341
967,2697.41880878373
968,9702.85003535745
969,15460.1727695739
970,2683.77440674681
971,5401.25360563299
972,5508.08261931476
973,2692.87067477142
974,2538.30363249624
975,5328.5182185077
976,2667.87331623954
977,5851.31033042162
978,2772.44564145096
979,9905.12034915445
980,19131.7764385567
981,2754.25310540174
982,9896.05883820142
983,2831.57138361092
984,2683.77440674681
985,5471.73230428792
986,2799.6996884532
987,2547.39990052085
988,5423.99427569451
989,10041.4948553804
990,2647.42409171996
991,5633.10416904576
992,2674.6781387222
993,5562.62547039083
994,5401.28836270458
995,5421.73758722415
996,5698.9999766168
997,2679.2610298061
998,15389.7288279905
999,9757.39288643351
1000,2592.88124064389
1001,5753.57758476446
1002,5433.12530079071
1003,5512.63075332707
1004,5876.30768895351
1005,2931.56081773845
1006,5492.18152880749
1007,2567.84912504042
1008,5539.9195574009
1009,19238.6054522384
1010,5696.77804521803
1011,9914.21661717906
1012,5580.81800644005
1013,5601.26723095963
1014,5551.27251389587
1015,5473.98899275827
1016,2849.72916258855
1017,2904.27201366462
1018,9698.30190134514
1019,9734.65221637199
1020,2499.66187192744
1021,5542.21100294284
1022,5442.18681174373
1023,5455.83121378064
1024,10186.965629631
1025,15094.2391454771
1026,19027.2041133452
1027,5478.53712677058
1028,5333.06635252001
1029,5298.97272596351
1030,10152.8720030745
1031,5335.35779806195
1032,2908.82014767692
1033,9632.37133670252
1034,2565.59243657007
1035,5578.56131796969
1036,2538.30363249624
1037,5362.61184506419
1038,9961.98940284405
1039,9686.94894485017
1040,5528.53184383434
1041,2736.06056935252
1042,2745.15683737713
1043,9702.85003535745
1044,5767.18722972978
1045,2692.87067477142
1046,2574.68870459468
1047,5451.28307976834
1048,9748.29661840891
1049,2776.95901839168
1050,5437.63867773142
1051,10489.2601346271
1052,2817.89222450242
1053,5503.56924237405
1054,2722.41616731561
1055,2717.8680333033
1056,2708.77176527869
1057,5371.7081130888
1058,15132.8809060459
1059,5801.28085628627
1060,2722.41616731561
1061,5714.97058126725
1062,5492.18152880749
1063,5664.90635006031
1064,2611.03901962152
1065,5689.97322273537
1066,2670.1300047099
1067,3190.63067108187
1068,19477.2608381339
1069,5369.45142461844
1070,2763.38413049794
1071,2688.32254075912
1072,5596.71909694732
1073,2567.84912504042
1074,5503.53448530246
1075,5503.60399944564
1076,15323.7982633479
1077,19238.6054522384
1078,5508.08261931476
1079,5530.82328937629
1080,5824.02152634779
1081,2836.08476055164
1082,2695.16212031337
1083,2551.94803453315
1084,5674.00261808492
1085,9711.94630338205
1086,10016.4974968485
1087,5389.90064913802
1088,2767.89750743865
1089,2736.06056935252
1090,5371.7081130888
1091,5410.3498736576
1092,5678.55075209722
1093,9707.39816936975
1094,5460.37934779295
1095,5362.61184506419
1096,5476.28043830022
1097,3088.3497914124
1098,2731.51243534022
1099,2799.6996884532
1100,5535.37142338859
1101,19031.7522473575
1102,5489.92484033713
1103,5628.55603503346
1104,10518.8056271713
1105,2817.89222450242
1106,2786.05528641629
1107,2806.50451093586
1108,5567.20836147473
1109,5401.25360563299
1110,5408.09318518724
1111,5674.00261808492
1112,9925.6390878172
1113,9836.93309604146
1114,5830.86110590205
1115,10196.0618976556
1116,2776.95901839168
1117,5771.73536374209
1118,5494.43821727785
1119,10216.5458792468
1120,2808.79595647781
1121,10061.9788369716
1122,15303.3490388283
1123,5508.08261931476
1124,15141.9771740705
1125,2631.52300121269
1126,2533.75549848393
1127,2704.22363126639
1128,5574.04794102898
1129,15123.7846380213
1130,2636.03637815341
1131,9650.56387275173
1132,15085.1428774525
1133,5558.11209345012
1134,2708.80652235028
1135,2858.79067354157
1136,2713.319899291
1137,3088.3497914124
1138,5553.56395943781
1139,9918.76475119136
1140,14896.5169656924
1141,5508.08261931476
1142,5558.11209345012
1143,10259.7010167563
1144,5317.16526201273
1145,5685.39033165147
1146,5512.66551039866
1147,5403.54505117493
1148,2676.96958426415
1149,2638.32782369535
1150,5533.07997784665
1151,2708.80652235028
1152,5430.79909817717
1153,5908.14462703964
1154,2574.68870459468
1155,5767.22198680137
1156,15139.7204856001
1157,2697.41880878373
1158,5678.55075209722
1159,2658.77704821493
1160,5442.18681174373
1161,2795.18631151248
1162,9711.94630338205
1163,2874.69176404884
1164,9766.48915445812
1165,2772.41088437937
1166,2622.42673318808
1167,9839.22454158341
1168,5385.35251512571
1169,2717.8680333033
1170,2822.44035851472
